objectid,filename,title,creator,date,description,subject,location,city,latitude,longitude,type,format
saah017,tesco-vee-1.jpg,tesco-vee-1,Jim Saah,1905-06-05,Photo shoot for Tesco’s Dutch Hercules record.,Tesco Vee,9:30 Club,"Washington, DC",38.89713995,-77.0254746,Image;StillImage,image/jpeg
saah018,void-1.jpg,void-1,Jim Saah,1982-12-05,,VOID,9:30 Club,"Washington, DC",38.89713995,-77.0254746,Image;StillImage,image/jpeg
saah019,lou-reed-1.jpg,lou-reed-1,Jim Saah,1984-10-08,,Lou Reed,Constitution Hall,"Washington, DC",38.89422285,-77.04152394,Image;StillImage,image/jpeg
saah020,replacements-1.jpg,replacements-1,Jim Saah,1984-09-23,,The Replacements,Friendship Station,"Washington, DC",38.95426034,-77.08274312,Image;StillImage,image/jpeg
saah021,big-boys-1.jpg,big-boys-1,Jim Saah,1983-09-23,,Big Boys,Lansburgh,"Washington, DC",38.89727488,-76.994887,Image;StillImage,image/jpeg
saah022,dead-kennedys-1.jpg,dead-kennedys-1,Jim Saah,1983-06-05,,Dead Kennedy's,Lansburgh,"Washington, DC",38.89727488,-76.994887,Image;StillImage,image/jpeg
saah023,minor-threat-3.jpg,minor-threat-3,Jim Saah,1983-09-23,Last Show,Minor Threat,Lansburgh,"Washington, DC",38.89727488,-76.994887,Image;StillImage,image/jpeg
saah024,nou-1.jpg,nou-1,Jim Saah,1905-06-14,Photo shoot for the Embassy Tapes record,Nation of Ulysses,National Cathedral School,"Washington, DC",38.93082827,-77.07074862,Image;StillImage,image/jpeg
saah025,mdc-1.jpg,mdc-1,Jim Saah,1983-07-03,Rock Against Racism (Reagan),MDC,National Mall,"Washington, DC",38.88981923,-77.03006184,Image;StillImage,image/jpeg
saah026,mdc-2.jpg,mdc-2,Jim Saah,1983-07-03,Rock Against Racism (Reagan),MDC,National Mall,"Washington, DC",38.88981923,-77.03006184,Image;StillImage,image/jpeg
saah027,marginal-man-1.jpg,marginal-man-1,Jim Saah,1983-05-13,,Marginal Man,Space II Arcade,"Washington, DC",38.90257145,-77.0090023,Image;StillImage,image/jpeg
saah028,jawbox-1.jpg,jawbox-1,Jim Saah,1905-06-18,,Jawbox,The Black Cat,"Washington, DC",38.91479118,-77.03181413,Image;StillImage,image/jpeg
saah029,ramones-1.jpg,ramones-1,Jim Saah,1984-10-09,,Ramones,Wax Museum,"Washington, DC",38.88328171,-77.0175255,Image;StillImage,image/jpeg
saah030,agent-orange-1.jpg,agent-orange-1,Jim Saah,1984-08-14,,Agent Orange,Wilson Center,"Washington, DC",38.92882743,-77.03620293,Image;StillImage,image/jpeg
saah031,gi-2.jpg,gi-2,Jim Saah,1982-10-22,,Government Issue,Wilson Center,"Washington, DC",38.92882743,-77.03620293,Image;StillImage,image/jpeg
saah032,meatmen-1.jpg,meatmen-1,Jim Saah,1983-01-28,,The Meatmen,Wilson Center,"Washington, DC",38.92882743,-77.03620293,Image;StillImage,image/jpeg
saah033,minor-threat-1.jpg,minor-threat-1,Jim Saah,1983-02-25,,Minor Threat,Wilson Center,"Washington, DC",38.92882743,-77.03620293,Image;StillImage,image/jpeg
saah034,minor-threat-2.jpg,minor-threat-2,Jim Saah,1983-02-25,,Minor Threat,Wilson Center,"Washington, DC",38.92882743,-77.03620293,Image;StillImage,image/jpeg
saah035,damned-1.jpg,damned-1,Jim Saah,1986-03-10,,The Damned,Yesterday and Today Records,"Rockville, MD",39.06813259,-77.13017126,Image;StillImage,image/jpeg
